  r          R           theta    pr             pR         pt
 2.982545  4.001140  1.504323  381.330048  12.010361  0.000000  -1290.495400  
 3.219297  3.822025  1.557893  275.812004  -37.320866  0.000000  -1290.495400  
 2.544540  4.007749  1.544311  434.500883  -13.097663  0.000000  -1290.495400  
 3.518775  3.941008  1.641385  -98.117076  -24.404221  0.000000  -1290.495400  
 2.394481  3.724465  1.557678  -215.995753  -33.921753  0.000000  -1290.495400  
 3.467606  3.848530  1.654956  138.005567  28.942192  0.000000  -1290.495400  
 2.731617  3.898868  1.619346  456.530603  -31.159620  0.000000  -1290.495400  
 3.517594  3.692592  1.568715  -99.175635  29.726868  0.000000  -1290.495400  
 2.904462  3.929666  1.610954  -410.808976  28.493851  0.000000  -1290.495400  
 2.384765  3.924912  1.631671  175.102851  27.449794  0.000000  -1290.495400  
 3.480555  3.941954  1.656301  -128.800958  -22.223059  0.000000  -1290.495400  
 3.568001  3.909035  1.653303  -35.625104  26.295013  0.000000  -1290.495400  
 2.701697  4.003527  1.567020  459.997978  15.123467  0.000000  -1290.495400  
 3.486892  3.875848  1.631902  124.120211  -31.623356  0.000000  -1290.495400  
 3.402922  3.766594  1.599719  179.074337  35.947085  0.000000  -1290.495400  
 3.006616  3.937967  1.581845  -371.565183  -28.458426  0.000000  -1290.495400  
 2.868019  3.728552  1.601310  423.126859  32.906023  0.000000  -1290.495400  
 2.745457  3.793398  1.635791  -454.347659  -32.079683  0.000000  -1290.495400  
 3.228641  3.947259  1.558674  271.267031  27.105715  0.000000  -1290.495400  
 2.987501  3.971591  1.624041  -379.342355  -21.059848  0.000000  -1290.495400  
 3.005873  3.800499  1.545316  -371.870693  -36.987708  0.000000  -1290.495400  
 3.478979  3.832593  1.550883  129.946104  -36.805228  0.000000  -1290.495400  
 3.242022  3.769159  1.597643  264.705620  -36.226586  0.000000  -1290.495400  
 3.241241  3.684819  1.557729  265.090186  -27.711437  0.000000  -1290.495400  
 2.916355  3.923312  1.531763  406.568648  29.324243  0.000000  -1290.495400  
 3.112948  3.637818  1.553682  -325.580726  -3.270653  0.000000  -1290.495400  
 3.224086  3.882015  1.655684  273.486169  27.742966  0.000000  -1290.495400  
 3.523845  3.793563  1.588747  93.460427  -37.345274  0.000000  -1290.495400  
 3.395563  3.997727  1.509946  183.385466  13.894057  0.000000  -1290.495400  
 3.541211  3.883537  1.492832  75.724556  -28.854609  0.000000  -1290.495400  
 3.375898  3.980820  1.542628  -194.648008  -20.594549  0.000000  -1290.495400  
 3.122218  3.723897  1.569041  321.383122  -34.182641  0.000000  -1290.495400  
 2.388961  4.002048  1.511432  194.156872  -12.595950  0.000000  -1290.495400  
 3.474093  3.991979  1.647677  133.450275  -13.515666  0.000000  -1290.495400  
 3.555121  3.719920  1.650733  -58.234724  16.427281  0.000000  -1290.495400  
 3.532674  3.874611  1.520508  84.844952  32.822403  0.000000  -1290.495400  
 2.958668  3.996749  1.553386  390.728182  -16.968319  0.000000  -1290.495400  
 3.551707  3.777305  1.595643  62.938941  -36.658457  0.000000  -1290.495400  
 3.505346  4.023520  1.536454  109.659427  -2.094765  0.000000  -1290.495400  
 3.278301  3.783795  1.526308  -246.582133  -34.976563  0.000000  -1290.495400  
 2.464247  3.958106  1.507184  -366.168766  22.583140  0.000000  -1290.495400  
 2.773319  3.919284  1.489640  -448.982869  -25.548711  0.000000  -1290.495400  
 3.488271  3.854192  1.588652  123.084498  -35.992111  0.000000  -1290.495400  
 2.470784  3.776041  1.513572  -374.344668  32.708442  0.000000  -1290.495400  
 2.824283  3.680095  1.563293  436.332537  -26.963358  0.000000  -1290.495400  
 3.017221  3.742371  1.604016  -367.177870  33.942922  0.000000  -1290.495400  
 3.418379  3.744551  1.500969  -169.823491  -26.639367  0.000000  -1290.495400  
 3.423806  3.936902  1.515159  -166.505492  26.458109  0.000000  -1290.495400  
 3.233436  3.934603  1.649817  268.922931  -24.147373  0.000000  -1290.495400  
 2.848169  3.722914  1.629047  429.354846  26.700579  0.000000  -1290.495400  
 3.513133  4.013765  1.591825  -103.093158  10.839614  0.000000  -1290.495400  
 3.491045  3.800260  1.532370  -120.981236  35.975456  0.000000  -1290.495400  
 3.503418  3.950019  1.560073  111.237564  26.705900  0.000000  -1290.495400  
 3.237851  3.863363  1.521638  266.757521  -33.566530  0.000000  -1290.495400  
 3.550867  3.905791  1.599684  -64.047926  31.723849  0.000000  -1290.495400  
 3.414652  3.715771  1.558896  172.079605  -32.973610  0.000000  -1290.495400  
 3.516428  3.980954  1.530856  100.211443  20.002739  0.000000  -1290.495400  
 3.231418  3.801504  1.505043  -269.910319  -32.213001  0.000000  -1290.495400  
 3.539939  3.967600  1.609981  77.143308  -22.763373  0.000000  -1290.495400  
 2.778871  3.687067  1.605549  447.771939  25.183336  0.000000  -1290.495400  
 3.550522  3.735306  1.628228  64.497413  -28.865701  0.000000  -1290.495400  
 3.520561  3.740507  1.565589  96.497687  -35.642210  0.000000  -1290.495400  
